"C_array","D_array","E_array","F_array","G_array","H_array","I_array","K_array","L_array","O_array","R_array","X_array"
"20.000","17.000","31.000","6.000","25.000","17.000","31.000","6.000","26.000","59.000","0.000","5.000"
"0.000","17.000","31.000","6.000","26.000","18.000","32.000","7.000","26.000","0.000","0.000","18.000"
"0.000","21.000","32.000","13.000","26.000","20.000","32.000","13.000","28.000","0.000","0.000","5.000"
NA,"49.000","32.000","45.000","28.000","50.000","33.000","13.000","28.000",NA,"0.000","18.000"
NA,"52.000","34.000","47.000","28.000","52.000","34.000","45.000","29.000",NA,"0.000","5.000"
NA,NA,"34.000",NA,"28.000",NA,"34.000",NA,"29.000",NA,"0.000","15.000"
NA,NA,"34.000",NA,"28.000",NA,"34.000",NA,"36.000",NA,"1.000","5.000"
NA,NA,"34.000",NA,"28.000",NA,"34.000",NA,"36.000",NA,"5.000","12.000"
NA,NA,"34.000",NA,"29.000",NA,"40.000",NA,"37.000",NA,NA,"0.000"
NA,NA,"34.000",NA,"29.000",NA,"40.000",NA,"37.000",NA,NA,NA
NA,NA,"34.000",NA,"29.000",NA,"40.000",NA,"42.000",NA,NA,NA
NA,NA,"34.000",NA,"29.000",NA,"41.000",NA,"42.000",NA,NA,NA
NA,NA,"40.000",NA,"30.000",NA,"41.000",NA,NA,NA,NA,NA
NA,NA,"40.000",NA,"36.000",NA,"41.000",NA,NA,NA,NA,NA
NA,NA,"40.000",NA,"36.000",NA,"41.000",NA,NA,NA,NA,NA
NA,NA,"40.000",NA,"37.000",NA,NA,NA,NA,NA,NA,NA
NA,NA,"41.000",NA,"37.000",NA,NA,NA,NA,NA,NA,NA
NA,NA,"41.000",NA,"42.000",NA,NA,NA,NA,NA,NA,NA
