"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"1","heroinSA","heroin","Box1","08-18-25","264","heroinSA_FR1_roomE_20250818","1","27","50","20","56601","163729","259445","128440","71.75","71.75","5","1","3","0","1","2","3","2","0","2","2","0","0","1","2","1","1","1","9","1","5","0","5","10","5","2","0","6","4","0","2","17","8","39","3","11","5","1","3","0","1","2","3","2","0","2","2","0","0","1","2","1","1","1","\Box1_Comments:"
"2","heroinSA","heroin","Box2","08-18-25","240","heroinSA_FR1_roomE_20250818","1","112","56","44","228348","188048","87246","38016","295.02","82.58","4","4","9","6","0","2","0","15","0","9","2","12","4","6","11","0","7","21","16","16","11","6","2","2","4","43","0","23","36","12","8","6","11","0","7","21","4","4","9","6","0","2","0","15","0","9","2","12","4","6","11","0","7","21","\Box2_Comments:"
"3","heroinSA","heroin","Box3","08-18-25","218","heroinSA_FR1_roomE_20250818","1","38","28","28","0","169251","133616","71916","239.33","10.22","6","2","1","0","3","4","3","2","0","3","2","2","4","3","3","0","0","0","16","6","3","2","3","4","7","12","2","7","2","2","4","5","11","2","6","0","6","2","1","0","3","4","3","2","0","3","2","2","4","3","3","0","0","0","\Box3_Comments:"
"4","heroinSA","heroin","Box4","08-18-25","230","heroinSA_FR1_roomE_20250818","1","12","3","10","102497","193279","188805","118295","43.42","35.09","3","1","1","1","2","0","0","0","0","0","0","1","0","0","3","0","0","0","5","1","1","1","6","0","0","0","0","0","0","1","0","0","3","0","0","0","3","1","1","1","2","0","0","0","0","0","0","1","0","0","3","0","0","0","\Box4_Comments:"
"5","heroinSA","heroin","Box5","08-18-25","192","heroinSA_FR1_roomE_20250818","1","27","13","11","159353","116851","112292","54962","273.68","25.63","1","10","0","3","0","0","3","0","4","0","0","2","1","1","0","2","0","0","5","18","0","3","0","0","3","0","6","0","0","4","1","1","0","4","0","8","1","10","0","3","0","0","3","0","4","0","0","2","1","1","0","2","0","0","\Box5_Comments:"
"6","heroinSA","heroin","Box6","08-18-25","225","heroinSA_FR1_roomE_20250818","1","32","11","21","70202","200077","236441","90893","162.49","100.67","5","5","2","2","0","0","1","1","4","1","1","2","0","2","1","1","2","2","11","11","4","2","0","0","1","3","4","5","1","2","0","2","1","1","4","2","5","5","2","2","0","0","1","1","4","1","1","2","0","2","1","1","2","2","\Box6_Comments:"
"7","heroinSA","heroin","Box7","08-18-25","247","heroinSA_FR1_roomE_20250818","1","41","7","20","85436","197185","213018","78270","238.22","238.22","8","0","3","4","0","1","4","3","2","0","2","0","1","2","1","6","0","4","8","0","3","6","0","1","4","3","2","2","2","6","1","2","5","6","0","4","8","0","3","4","0","1","4","3","2","0","2","0","1","2","1","6","0","4","\Box7_Comments:"
"8","heroinSA","heroin","Box8","08-18-25","244","heroinSA_FR1_roomE_20250818","1","36","12","23","200489","206505","122643","49186","86.2","6.89","6","2","3","2","1","1","6","0","4","0","0","0","0","2","1","3","2","3","16","2","5","2","1","1","6","0","10","0","2","0","2","2","1","3","2","5","6","2","3","2","1","1","6","0","4","0","0","0","0","2","1","3","2","3","\Box8_Comments:"
"9","heroinSA","heroin","Box9","08-18-25","226","heroinSA_FR1_roomE_20250818","1","13","2","10","209260","214763","108069","33834","363.67","363.67","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0","3","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","9","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0","\Box9_Comments:"
"10","heroinSA","heroin","Box10","08-18-25","212","heroinSA_FR1_roomE_20250818","1","43","34","27","186910","215942","118793","28016","84.94","84.94","6","3","4","4","1","4","1","2","0","5","1","0","5","2","2","1","1","1","6","11","6","4","9","10","9","6","4","9","11","2","11","2","8","1","1","1","6","3","4","4","1","4","1","2","0","5","1","0","5","2","2","1","1","1","\Box10_Comments:"
