"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"1","heroinSA","heroin","Box1","01-18-22","247","heroinSA_FR1_roomE_20220118","1","95","26","32","234924","166038","58544","32","1.04","1.04","8","1","0","8","4","0","2","1","0","44","0","0","0","17","5","0","1","4","12","1","0","24","4","0","8","5","0","48","0","0","0","17","5","0","13","10","8","1","0","8","4","0","2","1","0","44","0","0","0","17","5","0","1","4","\Box1_Comments:"
"2","heroinSA","heroin","Box2","01-18-22","282","heroinSA_FR1_roomE_20220118","1","50","27","32","168155","195133","98874","32","652.05","145.95","0","4","1","3","6","2","1","4","0","4","3","4","1","7","3","2","4","1","20","16","3","9","6","2","1","4","0","6","3","4","1","15","7","2","4","1","0","4","1","3","6","2","1","4","0","4","3","4","1","7","3","2","4","1","\Box2_Comments:"
"3","heroinSA","heroin","Box3","01-18-22","270","heroinSA_FR1_roomE_20220118","1","35","20","19","157038","208500","165517","19","258.3","107.82","1","4","2","1","0","3","2","0","2","6","0","0","3","5","0","3","3","0","13","8","2","1","0","5","2","0","6","6","0","2","3","21","0","3","3","0","1","4","2","1","0","3","2","0","2","6","0","0","3","5","0","3","3","0","\Box3_Comments:"
"4","heroinSA","heroin","Box4","01-18-22","238","heroinSA_FR1_roomE_20220118","1","43","8","21","148000","129875","74857","21","73.23","73.23","3","5","0","4","1","2","1","1","6","0","3","1","7","0","1","3","2","3","5","5","0","14","1","2","1","1","6","0","5","1","7","0","1","3","2","5","3","5","0","4","1","2","1","1","6","0","3","1","7","0","1","3","2","3","\Box4_Comments:"
"5","heroinSA","heroin","Box5","01-18-22","280","heroinSA_FR1_roomE_20220118","1","44","10","36","261594","196684","71542","36","862.76","222.95","0","2","3","3","3","3","4","0","5","2","0","1","6","2","4","2","2","2","6","4","5","3","3","3","4","0","7","2","0","1","10","2","6","2","4","2","0","2","3","3","3","3","4","0","5","2","0","1","6","2","4","2","2","2","\Box5_Comments:"
"6","heroinSA","heroin","Box6","01-18-22","261","heroinSA_FR1_roomE_20220118","1","124","7","42","143331","70823","12460","42","380.29","356.01","3","5","0","12","6","6","5","4","2","15","16","1","11","13","3","4","5","13","5","5","0","12","6","6","5","16","2","15","16","1","11","13","3","4","5","13","3","5","0","12","6","6","5","4","2","15","16","1","11","13","3","4","5","13","\Box6_Comments:"
"7","heroinSA","heroin","Box7","01-18-22","285","heroinSA_FR1_roomE_20220118","1","56","15","32","144771","162462","160747","32","419.26","291.72","2","4","1","3","2","3","3","0","4","0","3","0","3","13","0","14","0","1","12","18","5","3","2","3","3","0","4","0","3","0","3","13","0","14","0","3","2","4","1","3","2","3","3","0","4","0","3","0","3","13","0","14","0","1","\Box7_Comments:"
"8","heroinSA","heroin","Box8","01-18-22","243","heroinSA_FR1_roomE_20220118","1","92","10","34","254897","140453","34142","34","236.95","78.34","1","4","1","8","0","2","2","2","1","1","0","20","0","20","15","5","4","6","11","8","5","8","0","2","2","2","1","1","0","22","0","20","15","5","4","6","1","4","1","8","0","2","2","2","1","1","0","20","0","20","15","5","4","6","\Box8_Comments:"
"9","heroinSA","heroin","Box9","01-18-22","269","heroinSA_FR1_roomE_20220118","1","87","9","37","246788","104205","35319","37","30.01","30.01","1","2","7","4","9","3","10","1","13","3","0","5","8","1","6","0","7","7","11","10","7","4","9","3","10","1","13","3","0","5","8","1","6","0","7","7","1","2","7","4","9","3","10","1","13","3","0","5","8","1","6","0","7","7","\Box9_Comments:"
"10","heroinSA","saline","Box10","01-18-22","251","heroinSA_FR1_roomE_20220118","1","112","12","44","144746","151453","151496","44","7.98","7.98","8","3","3","5","3","43","8","3","17","6","11","1","0","0","1","0","0","0","16","3","5","5","3","45","8","3","17","6","17","1","0","0","1","0","6","0","8","3","3","5","3","43","8","3","17","6","11","1","0","0","1","0","0","0","\Box10_Comments:"
