"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"1",1,"1","heroinSA","heroin","01-18-22","Box1","247.000",10,1,"FR_SCRIPT_D:_0.785_E:_0.215_F:_32.000_I:_244.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_37.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box1_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_1.rDat",95,26,32,"234924.000","166038.000","58544.000","32.000","1.04","329.05"
"2",2,"2","heroinSA","heroin","01-18-22","Box2","282.000",10,1,"FR_SCRIPT_D:_0.649_E:_0.351_F:_32.000_I:_202.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_853.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box2_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_2.rDat",50,27,32,"168155.000","195133.000","98874.000","32.000","652.05","145.95"
"3",3,"3","heroinSA","heroin","01-18-22","Box3","270.000",10,1,"FR_SCRIPT_box3_D:_0.636_E:_0.364_F:_19.000_I:_134.000_J:_0.000_K:_10800.010_L:_2.000_R:_0.000_S:_0.000_T:_7816.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_3.rDat",35,20,19,"157038.000","208500.000","165517.000","19.000","258.3","107.82"
"4",4,"4","heroinSA","heroin","01-18-22","Box4","238.000",10,1,"FR_SCRIPT_box4_D:_0.843_E:_0.157_F:_21.000_I:_124.000_J:_0.000_K:_10800.010_L:_2.000_R:_0.000_S:_0.000_T:_4143.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box4_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_4.rDat",43,8,21,"148000.000","129875.000","74857.000","21.000","73.23","197.1"
"5",5,"5","heroinSA","heroin","01-18-22","Box5","280.000",10,1,"FR_SCRIPT_D:_0.815_E:_0.185_F:_36.000_I:_174.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1571.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box5_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_5.rDat",44,10,36,"261594.000","196684.000","71542.000","36.000","862.76","222.95"
"6",6,"6","heroinSA","heroin","01-18-22","Box6","261.000",10,1,"FR_SCRIPT_D:_0.947_E:_0.053_F:_42.000_I:_266.000_J:_0.000_K:_10800.010_L:_4.000_R:_0.000_S:_0.000_T:_1618.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box6_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_6.rDat",124,7,42,"143331.000","70823.000","12460.000","42.000","380.29","356.01"
"7",7,"7","heroinSA","heroin","01-18-22","Box7","285.000",10,1,"FR_SCRIPT_D:_0.789_E:_0.211_F:_32.000_I:_184.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_618.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box7_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_7.rDat",56,15,32,"144771.000","162462.000","160747.000","32.000","419.26","291.72"
"8",8,"8","heroinSA","heroin","01-18-22","Box8","243.000",10,1,"FR_SCRIPT_D:_0.902_E:_0.098_F:_34.000_I:_216.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2508.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box8_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_8.rDat",92,10,34,"254897.000","140453.000","34142.000","34.000","236.95","78.34"
"9",9,"9","heroinSA","heroin","01-18-22","Box9","269.000",10,1,"FR_SCRIPT_D:_0.906_E:_0.094_F:_37.000_I:_218.000_J:_0.000_K:_10800.010_L:_2.000_R:_0.000_S:_0.000_T:_3317.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box9_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_9.rDat",87,9,37,"246788.000","104205.000","35319.000","37.000","30.01","118.08"
"10",10,"10","heroinSA","saline","01-18-22","Box10","251.000",10,1,"FR_SCRIPT_D:_0.903_E:_0.097_F:_44.000_I:_270.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_11830.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box10_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_10.rDat",112,12,44,"144746.000","151453.000","151496.000","44.000","7.98","134.54"
"11",11,"11","heroinSA","saline","01-18-22","Box11","293.000",10,1,"FR_SCRIPT_5choice_D:_0.535_E:_0.465_F:_26.000_I:_184.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2440.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_11.rDat",38,33,26,"0.000","0.000","0.000","26.000","55.33","228.62"
"12",12,"12","heroinSA","saline","01-18-22","Box12","274.000",10,1,"FR_SCRIPT_5choice_D:_0.604_E:_0.396_F:_22.000_I:_135.000_J:_0.000_K:_10800.010_L:_1.000_R:_0.000_S:_0.000_T:_14537.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box12_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_12.rDat",29,19,22,"0.000","0.000","0.000","22.000","453.46","212.51"
"13",13,"13","heroinSA","saline","01-18-22","Box13","241.000",10,1,"FR_SCRIPT_5choice_D:_0.788_E:_0.212_F:_46.000_I:_243.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_12146.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_13.rDat",67,18,46,"0.000","0.000","0.000","46.000","29.57","210.49"
"14",14,"14","heroinSA","saline","01-18-22","Box14","278.000",10,1,"FR_SCRIPT_5choice_D:_0.617_E:_0.383_F:_37.000_I:_272.000_J:_0.000_K:_10800.010_L:_3.000_R:_0.000_S:_0.000_T:_31600.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_14.rDat",71,44,37,"0.000","0.000","0.000","37.000","181.86","124.24"
"15",15,"15","heroinSA","saline","01-18-22","Box15","254.000",10,1,"FR_SCRIPT_5choice_D:_0.882_E:_0.118_F:_42.000_I:_223.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2715.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20220118","heroinSA_FR1_roomE_20220118_15.rDat",75,10,42,"0.000","0.000","0.000","42.000","92.58","273.03"
"16",1,"1","heroinSA","heroin","01-19-22","Box1","248.000",10,1,"FR_SCRIPT_D:_0.753_E:_0.247_F:_26.000_I:_171.000_J:_0.000_K:_10800.010_L:_3.000_R:_0.000_S:_0.000_T:_815.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box1_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_1.rDat",55,18,26,"248094.000","216667.000","44538.000","26.000","66.89","9.93"
"17",2,"2","heroinSA","heroin","01-19-22","Box2","278.000",10,1,"FR_SCRIPT_D:_0.736_E:_0.264_F:_40.000_I:_275.000_J:_0.000_K:_10800.010_L:_5.000_R:_0.000_S:_0.000_T:_239.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box2_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_2.rDat",89,32,40,"177992.000","157801.000","71218.000","40.000","39.22","100.41"
"18",3,"3","heroinSA","heroin","01-19-22","Box3","265.000",10,1,"FR_SCRIPT_box3_D:_0.543_E:_0.457_F:_15.000_I:_149.000_J:_0.000_K:_10800.010_L:_1.000_R:_0.000_S:_0.000_T:_22.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_3.rDat",38,32,15,"201983.000","254428.000","98142.000","15.000","198.75","104.23"
"19",4,"4","heroinSA","heroin","01-19-22","Box4","242.000",10,1,"FR_SCRIPT_box4_D:_0.887_E:_0.113_F:_26.000_I:_139.000_J:_0.000_K:_10800.010_L:_1.000_R:_0.000_S:_0.000_T:_6568.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box4_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_4.rDat",47,6,26,"132258.000","220904.000","122247.000","26.000","12.07","3395.78"
