"subject","group","boxnum","fr","weight_1","weight_2","weight_3","weight_4","weight_5","weight_6","weight_7","weight_8","weight_9","weight_10","weight_11","weight_12","weight_13","weight_14","weight_15","weight_16","weight_17","active_1","active_2","active_3","active_4","active_5","active_6","active_7","active_8","active_9","active_10","active_11","active_12","active_13","active_14","active_15","active_16","active_17","inactive_1","inactive_2","inactive_3","inactive_4","inactive_5","inactive_6","inactive_7","inactive_8","inactive_9","inactive_10","inactive_11","inactive_12","inactive_13","inactive_14","inactive_15","inactive_16","inactive_17","reward_1","reward_2","reward_3","reward_4","reward_5","reward_6","reward_7","reward_8","reward_9","reward_10","reward_11","reward_12","reward_13","reward_14","reward_15","reward_16","reward_17","beam_breaks_1","beam_breaks_2","beam_breaks_3","beam_breaks_4","beam_breaks_5","beam_breaks_6","beam_breaks_7","beam_breaks_8","beam_breaks_9","beam_breaks_10","beam_breaks_11","beam_breaks_12","beam_breaks_13","beam_breaks_14","beam_breaks_15","beam_breaks_16","beam_breaks_17","latency.to.first.active_1","latency.to.first.active_2","latency.to.first.active_3","latency.to.first.active_4","latency.to.first.active_5","latency.to.first.active_6","latency.to.first.active_7","latency.to.first.active_8","latency.to.first.active_9","latency.to.first.active_10","latency.to.first.active_11","latency.to.first.active_12","latency.to.first.active_13","latency.to.first.active_14","latency.to.first.active_15","latency.to.first.active_16","latency.to.first.active_17","latency.to.first.inactive_1","latency.to.first.inactive_2","latency.to.first.inactive_3","latency.to.first.inactive_4","latency.to.first.inactive_5","latency.to.first.inactive_6","latency.to.first.inactive_7","latency.to.first.inactive_8","latency.to.first.inactive_9","latency.to.first.inactive_10","latency.to.first.inactive_11","latency.to.first.inactive_12","latency.to.first.inactive_13","latency.to.first.inactive_14","latency.to.first.inactive_15","latency.to.first.inactive_16","latency.to.first.inactive_17","comments_1","comments_2","comments_3","comments_4","comments_5","comments_6","comments_7","comments_8","comments_9","comments_10","comments_11","comments_12","comments_13","comments_14","comments_15","comments_16","comments_17"
"1","heroin","Box1","1","247","248","242","250","248","252","252","282","255","260","262"," "," "," "," "," "," ","95","55","21","17","15","21","15","15","18","17","14"," "," "," "," "," "," ","26","18","49","47","54","57","7","8","12","18","33"," "," "," "," "," "," ","32","26","21","17","15","21","15","15","18","17","14"," "," "," "," "," "," ","459538","509325","502716","526786","486272","491099","472280","507432","505962","527154","543478"," "," "," "," "," "," ","1.04","66.89","40.02","9.35","111.88","104.62","208.23","49","25.07","0.13","11.86"," "," "," "," "," "," ","1.04","9.93","0.22","9.35","17.9","62.57","78.27","49","24.45","0.13","11.86"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"2","heroin","Box2","1","282","278","272","275","274","279","275","278","285","286","285"," "," "," "," "," "," ","50","89","38","40","54","59","79","61","64","51","78"," "," "," "," "," "," ","27","32","10","71","13","24","5","24","11","41","26"," "," "," "," "," "," ","32","40","38","40","54","59","79","61","64","51","78"," "," "," "," "," "," ","462194","407051","489043","507070","504034","441869","432505","478051","494128","438770","488907"," "," "," "," "," "," ","652.05","39.22","32.18","61.77","20.8","13.16","14.74","54.87","9.74","40.21","44.21"," "," "," "," "," "," ","145.95","39.22","32.18","61.77","20.8","4.58","14.74","42.37","9.74","27.11","27.02"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"3","heroin","Box3","1","270","265","258","254","260","260","263","260","265","271","274"," "," "," "," "," "," ","35","38","21","20","29","30","24","21","32","23","37"," "," "," "," "," "," ","20","32","8","22","7","26","100","48","7","65","5"," "," "," "," "," "," ","19","15","21","20","29","30","24","21","32","23","37"," "," "," "," "," "," ","531074","554568","516090","508297","501366","518395","492740","502740","508470","412940","464585"," "," "," "," "," "," ","258.3","198.75","18.16","31.41","26.05","16.99","222.45","319.03","109.14","347.71","23.9"," "," "," "," "," "," ","107.82","104.23","18.16","31.41","26.05","16.99","9.32","26.8","109.14","113.5","12.36"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"4","heroin","Box4","1","238","242","235","231","234","238","238","240","240","248","250"," "," "," "," "," "," ","43","47","21","19","17","17","14","15","19","14","19"," "," "," "," "," "," ","8","6","0","4","13","12","7","5","0","3","1"," "," "," "," "," "," ","21","26","21","19","17","17","14","15","19","14","19"," "," "," "," "," "," ","352753","475435","430520","481775","485590","432631","425077","345225","309360","356228","287369"," "," "," "," "," "," ","73.23","12.07","124.08","49.42","32.7","32.51","40.94","139.18","28.96","39.74","44.33"," "," "," "," "," "," ","73.23","12.07","124.08","49.42","32.7","32.51","40.94","10.51","28.96","39.74","44.33"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"5","heroin","Box5","1","280","279","264","259","264","268","269","270","26","276","283"," "," "," "," "," "," ","44","50","28","17","18","37","32","29","29","25","28"," "," "," "," "," "," ","10","18","23","48","41","31","60","25","34","119","68"," "," "," "," "," "," ","36","39","28","17","18","37","32","29","29","25","28"," "," "," "," "," "," ","529856","443617","480049","479732","531517","524487","528325","499541","509139","522384","515884"," "," "," "," "," "," ","862.76","483.56","0.9","137.85","17.25","481.03","8.57","27.5","87.43","18.37","96.22"," "," "," "," "," "," ","222.95","432.82","0.9","137.85","17.25","8.79","8.57","27.5","63.32","18.37","45.77"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"6","heroin","Box6","1","261","256","257","250","254","252","252","253","252","259","261"," "," "," "," "," "," ","124","97","24","22","34","35","27","31","42","33","38"," "," "," "," "," "," ","7","0","5","10","1","2","3","0","1","0","21"," "," "," "," "," "," ","42","39","24","22","34","35","27","31","42","33","38"," "," "," "," "," "," ","226656","261676","402594","381511","403020","385206","414656","394083","353678","456515","423387"," "," "," "," "," "," ","380.29","127.62","58.59","21.39","183.03","110.61","33.12","40.89","78.62","66.14","208.71"," "," "," "," "," "," ","356.01","127.62","58.59","21.39","183.03","75.41","33.12","40.89","78.62","66.14","86.36"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"7","heroin","Box7","1","285","283","275","273","275","280","280","282","284","285","290"," "," "," "," "," "," ","56","64","32","41","39","47","44","40","50","40","45"," "," "," "," "," "," ","15","10","13","8","12","14","4","4","3","5","3"," "," "," "," "," "," ","32","25","32","41","39","47","44","40","50","40","45"," "," "," "," "," "," ","468012","397868","174393","190094","192966","111722","187953","236087","284406","329159","272671"," "," "," "," "," "," ","419.26","100.77","8.43","32.07","85.47","56.69","56.7","9.16","43.37","82.92","34.95"," "," "," "," "," "," ","291.72","69.85","8.43","9.88","52.31","17.11","56.7","9.16","27.24","28.97","34.95"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"8","heroin","Box8","1","243","249","246","247","250","251","251","253","252","261","260"," "," "," "," "," "," ","92","113","37","31","34","36","35","43","47","40","42"," "," "," "," "," "," ","10","23","38","64","13","32","33","23","23","13","1"," "," "," "," "," "," ","34","47","37","31","34","36","35","43","47","40","42"," "," "," "," "," "," ","429526","364914","331098","305466","420368","384891","428577","434132","396518","408862","408340"," "," "," "," "," "," ","236.95","28.18","231.15","34.45","204.95","162.38","74.38","91.74","56.49","65.29","111.65"," "," "," "," "," "," ","78.34","28.18","231.15","34.45","179.74","150.89","74.38","82.34","56.49","65.29","111.65"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"9","heroin","Box9","1","269","263","261","256","260","269","270","275","275","273","280"," "," "," "," "," "," ","87","111","45","48","43","54","46","48","58","49","50"," "," "," "," "," "," ","9","9","7","49","35","23","33","14","51","13","110"," "," "," "," "," "," ","37","40","45","48","43","54","46","48","58","49","50"," "," "," "," "," "," ","386349","374743","494675","435384","541370","419690","452676","460246","465082","425063","438495"," "," "," "," "," "," ","30.01","158.25","6.13","33.76","59.1","92.58","56.08","8.78","0.87","55.11","35.18"," "," "," "," "," "," ","30.01","19.07","6.13","33.76","42.45","92.58","56.08","1.65","0.7","38.71","35.18"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
"10","saline","Box10","1","251","249","248","254","253","255","260","261","267","270","275"," "," "," "," "," "," ","112","23","14","10","19","17","11","15","17","19","16"," "," "," "," "," "," ","12","7","3","17","22","3","26","22","6","10","13"," "," "," "," "," "," ","44","19","14","10","19","17","11","15","17","19","16"," "," "," "," "," "," ","447739","512257","492218","421163","376675","405885","450086","482605","421575","523500","436922"," "," "," "," "," "," ","7.98","19.54","62.81","7.68","48.5","32.82","9.02","6.57","11.13","60.58","29.19"," "," "," "," "," "," ","7.98","19.54","1.03","7.68","48.5","32.82","9.02","6.57","11.13","25.38","29.19"," "," "," "," "," "," ","","","","","","","","","","",""," "," "," "," "," "," "
