"subject","group","boxnum","fr","weight_1","weight_2","weight_3","weight_4","weight_5","weight_6","weight_7","weight_8","active_1","active_2","active_3","active_4","active_5","active_6","active_7","active_8","inactive_1","inactive_2","inactive_3","inactive_4","inactive_5","inactive_6","inactive_7","inactive_8","reward_1","reward_2","reward_3","reward_4","reward_5","reward_6","reward_7","reward_8","beam_breaks_1","beam_breaks_2","beam_breaks_3","beam_breaks_4","beam_breaks_5","beam_breaks_6","beam_breaks_7","beam_breaks_8","latency.to.first.active_1","latency.to.first.active_2","latency.to.first.active_3","latency.to.first.active_4","latency.to.first.active_5","latency.to.first.active_6","latency.to.first.active_7","latency.to.first.active_8","latency.to.first.inactive_1","latency.to.first.inactive_2","latency.to.first.inactive_3","latency.to.first.inactive_4","latency.to.first.inactive_5","latency.to.first.inactive_6","latency.to.first.inactive_7","latency.to.first.inactive_8","comments_1","comments_2","comments_3","comments_4","comments_5","comments_6","comments_7","comments_8"
"1","heroin","Box1","1","264","275","275","275","285","312","316","306","27","15","15","19","34","19","16","14","50","26","5","5","6","7","8","5","20","13","11","11","17","18","14","13","608215","606476","638362","583257","613989","647956","627048","654418","71.75","3.99","143.43","335.12","250.98","45.51","21.54","188.29","71.75","3.99","143.43","327.6","247.48","45.51","21.54","85.31","","","","","","","",""
"2","heroin","Box2","1","240","251","251","250","266","301","292","287","112","88","75","43","20","24","41","71","56","30","24","12","15","13","14","8","44","40","45","27","11","16","21","29","541658","535611","569704","519389","585057","644226","602647","583696","295.02","26.67","30.18","37.03","307.69","210.61","173.53","306.34","82.58","26.67","30.18","37.03","307.69","210.61","173.53","306.34","","","","","","","",""
"3","heroin","Box3","1","218","220","220","225","243","269","271","274","38","63","97","30","48","59","41","34","28","23","38","14","27","9","24","18","28","28","50","17","29","35","27","23","374783","329701","344909","361621","505965","494312","480929","489366","239.33","205.93","342.14","30.04","13","19.06","41.98","19.96","10.22","67.98","203.19","30.04","13","19.06","38.53","19.96","","","","","chewed","","",""
"4","heroin","Box4","1","230","236","236","225","254","265","265","269","12","39","41","52","46","44","23","20","3","7","11","7","11","5","8","8","10","23","26","35","27","26","18","12","602876","575304","582132","548608","588001","597040","554059","601723","43.42","87.08","114.42","24.24","143.33","165.98","20.37","78.11","35.09","87.08","114.42","24.24","124.04","162.15","20.37","6.69","","","","","","","",""
"5","heroin","Box5","1","192","196","196","200","211","245","241","241","27","36","28","26","50","42","31","25","13","21","17","14","19","18","9","16","11","22","24","20","35","30","25","21","443458","536297","557111","491133","561654","584457","547648","527449","273.68","215.14","36.88","370.1","154.71","69.37","37.22","19.75","25.63","171.38","36.88","62.65","154.71","41.83","29.51","19.75","","","","","","","",""
"6","heroin","Box6","1","225","236","236","225","260","274","270","269","32","27","25","31","47","39","38","24","11","17","22","17","15","18","7","10","21","16","18","24","32","30","22","17","597613","600104","577726","564775","599084","619372","577755","597264","162.49","298.73","59.8","75.22","205.62","67.79","45.46","61.96","100.67","285.76","59.8","75.22","123.31","29.53","45.46","61.96","","","","","","","",""
"7","heroin","Box7","1","247","252","252","250","272","300","293","296","41","26","37","35","43","44","32","30","7","22","33","12","21","41","12","31","20","20","25","27","31","28","21","22","573909","629768","647589","664860","675064","675090","685589","684702","238.22","636.55","131.21","92.82","59.81","17.5","21.14","92.45","238.22","636.55","90.61","92.82","59.81","17.5","20.18","64.31","","","","","","","",""
"8","heroin","Box8","1","244","250","250","250","274","301","286","285","36","31","26","29","17","19","22","71","12","10","7","8","6","4","6","17","23","20","20","22","12","13","16","41","578823","586692","622490","581257","589716","593995","599289","438153","86.2","29.99","64.77","150.4","371.49","159.86","86.79","36","6.89","29.99","64.77","150.4","146.46","159.86","2.37","36","","","","","","","","chewed"
"9","heroin","Box9","1","226","233","233","225","252","276","275","276","13","14","16","15","19","30","28","20","2","3","2","5","3","14","6","9","10","12","10","12","19","21","20","16","565926","611166","599630","620333","626463","669963","632784","623376","363.67","504.25","155.05","115.97","11.99","124.8","3.99","8.27","363.67","504.25","155.05","41.32","11.99","124.8","3.99","8.27","","","","","","","",""
"10","heroin","Box10","1","212","223","223","225","234","263","260","262","43","24","39","40","34","43","44","27","34","9","36","8","22","38","24","14","27","17","26","27","23","27","22","20","549661","570401","585068","566849","470201","586358","516168","520519","84.94","198.45","148.74","13.38","82.01","8.49","5.41","10.89","84.94","147.36","96","13.38","30.78","4.5","5.41","10.89","","","","","","","",""
"11","heroin","Box1","1","215","227","227","225","243","264","264","264","72","20","11","12","30","23","34","78","13","21","13","9","4","10","13","29","31","11","8","6","11","16","13","36","543820","585647","582370","553670","591037","621189","627480","626257","32.28","166.61","284.46","95.82","336.05","195.32","141.27","57.69","32.28","166.61","284.46","95.82","332.68","195.32","13.1","57.69","","","","","","","",""
"12","heroin","Box2","1","187","198","198","200","213","232","234","238","65","33","38","25","8","22","28","30","6","4","13","10","6","19","16","3","37","30","30","16","7","14","22","21","528534","584991","605007","584148","563870","627630","609736","600576","406.9","251.41","50.77","30.16","125.78","15.6","12.2","22.65","203.72","113.3","50.77","30.16","125.78","15.6","12.2","0.75","","","","","","","",""
"13","heroin","Box3","1","243","249","249","250","267","297","295","293","34","21","100","37","42","52","53","41","13","1","20","4","1","1","2","3","20","16","48","23","28","39","37","27","537881","587463","584101","576061","610588","647279","629365","621804","125.43","54.15","245.85","89.63","104.26","45.09","25.23","46.1","125.43","54.15","105.26","89.63","104.26","45.09","4.18","39.27","","","","","","","",""
"14","heroin","Box4","1","266","263","263","275","293","319","306","306","11","6","7","7","16","19","17","23","8","0","3","2","0","1","3","0","9","5","7","5","15","18","17","19","594521","602255","638982","536683","588613","646494","629583","622240","7.61","1374.79","571.61","298.73","106.96","119.68","166.84","23.12","7.61","1374.79","571.61","298.73","106.96","118.42","138.73","23.12","","","","","","","",""
"15","heroin","Box5","1","211","220","220","225","240","292","256","258","50","23","49","27","43","31","64","33","9","9","2","3","3","0","8","26","37","16","29","19","26","22","36","21","531079","526739","536880","513499","541107","604843","566086","456580","443","21.21","45.81","94.01","133.78","9.3","59.22","14.05","73.07","21.21","45.81","7.11","133.78","9.3","7.81","7.54","","","","","","","","chewed"
"16","heroin","Box6","1","243","268","268","275","270","324","281","286","34","19","37","46","68","51","54","39","4","10","16","13","27","8","16","16","17","8","16","15","29","26","24","18","576484","615441","626935","589438","626187","607191","562034","604886","62.45","232.27","483.91","242.8","57.79","367.43","214.57","24.24","62.45","165.42","24.77","69.89","57.79","367.43","214.57","24.24","","","","","","","",""
"17","heroin","Box7","1","281","282","282","275","290","297","315","310","79","22","29","33","37","33","47","55","21","10","11","6","9","10","9","7","24","14","15","22","22","18","26","31","799918","863120","846419","837855","821713","853908","824050","838044","347.56","71","692.51","376.53","263.84","88.93","114.86","74.83","110.41","63.56","692.51","376.53","55.48","8.55","53.35","27.99","","","","","","","",""
"18","heroin","Box8","1","240","237","237","225","245","265","257","257","41","21","18","7","26","42","37","32","23","23","22","10","32","21","38","12","23","17","13","7","18","26","22","21","576145","558081","564665","552269","586185","605094","583851","565699","151.92","9.09","365.51","102.96","5.66","103.9","61.28","345.42","22.3","9.09","54.25","102.96","5.66","103.9","28.44","64.89","","","","","","","",""
"19","heroin","Box9","1","236","242","242","250","250","0","0","250","39","79","17","35","42","0","0","0","15","16","0","7","0","0","0","0","24","36","12","20","28","0","0","0","715582","824267","775493","850431","827453","390105","377298","403815","159.55","280.32","89.85","23.63","8.38"," "," "," ","62.39","280.32","89.85","23.63","8.38"," "," "," ","","","","","","","",""
"20","heroin","Box10","1","228","235","235","225","230","274","0","250","36","35","40","46","33","7","0","0","9","18","37","19","22","5","0","0","20","23","23","20","13","4","0","0"," "," ","109"," "," "," "," "," ","245.6","38.73","244.2","10.14","100.98","14.98"," "," ","245.6","38.73","234.97","10.14","100.98","14.98"," "," ","","","","","","","",""
"21","heroin","Box11","1","223","231","231","225","254","0","0","250","39","33","70","20","0","0","0","0","6","7","9","4","0","0","0","0","20","23","47","15","0","0","0","0","167"," "," "," "," "," "," "," ","27.82","241.04","8.34","547.19"," "," "," "," ","27.82","241.04","8.34","440.62"," "," "," "," ","","","","","","","",""
