"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"1","heroinSA","heroin","Box1","02-14-23","272","heroinSA_FR1_roomE_20230214","1","21","12","21","118263","156575","155983","21","39.45","39.45","1","2","1","5","0","0","2","0","0","1","2","0","1","2","0","1","1","2","1","8","1","7","0","0","12","0","0","1","6","0","1","2","0","1","1","4","1","2","1","5","0","0","2","0","0","1","2","0","1","2","0","1","1","2","\Box11_Comments:"
"2","heroinSA","heroin","Box2","02-14-23","248","heroinSA_FR1_roomE_20230214","1","15","39","15","231162","133648","52876","15","1416.52","376.32","0","0","2","2","0","0","2","0","2","0","1","1","1","0","1","0","2","1","2","0","4","3","0","0","7","0","4","0","1","5","3","0","55","0","2","9","0","0","2","2","0","0","2","0","2","0","1","1","1","0","1","0","2","1","\Box11_Comments:"
"5","heroinSA","heroin","Box5","02-14-23","256","heroinSA_FR1_roomE_20230214","1","26","29","26","211507","186699","78388","26","270.89","255","2","0","2","2","4","1","1","2","0","2","1","2","0","2","1","1","1","2","6","6","4","8","10","3","5","10","0","8","1","8","2","4","1","1","3","4","2","0","2","2","4","1","1","2","0","2","1","2","0","2","1","1","1","2","\Box11_Comments:"
"6","heroinSA","heroin","Box6","02-14-23","231","heroinSA_FR1_roomE_20230214","1","18","11","18","165434","244525","138393","18","219.88","219.88","4","1","2","0","1","1","1","2","0","0","3","0","1","0","1","0","1","0","4","9","2","0","1","1","1","2","0","0","11","0","1","0","1","0","1","6","4","1","2","0","1","1","1","2","0","0","3","0","1","0","1","0","1","0","\Box11_Comments:"
"7","heroinSA","saline","Box7","02-14-23","252","heroinSA_FR1_roomE_20230214","1","27","79","27","172204","91396","66905","27","142.4","142.4","1","3","2","2","2","1","1","0","3","0","0","5","0","2","1","2","2","0","23","3","10","18","10","1","11","2","17","2","8","35","0","8","1","26","2","8","1","3","2","2","2","1","1","0","3","0","0","5","0","2","1","2","2","0","\Box11_Comments:"
"8","heroinSA","heroin","Box8","02-14-23","275","heroinSA_FR1_roomE_20230214","1","16","46","16","219012","196826","77406","16","206.51","206.51","5","2","0","0","0","0","2","1","0","0","2","0","0","1","2","0","1","0","7","12","4","0","0","0","10","13","0","4","8","2","6","1","38","0","3","0","5","2","0","0","0","0","2","1","0","0","2","0","0","1","2","0","1","0","\Box11_Comments:"
"9","heroinSA","saline","Box9","02-14-23","226","heroinSA_FR1_roomE_20230214","1","39","68","39","130618","109481","98974","39","260.27","159.88","1","7","2","2","2","2","0","2","5","1","1","7","3","1","3","0","0","0","17","25","16","12","2","2","2","10","7","1","11","20","5","5","3","8","8","22","1","7","2","2","2","2","0","2","5","1","1","7","3","1","3","0","0","0","\Box11_Comments:"
"10","heroinSA","heroin","Box10","02-14-23","258","heroinSA_FR1_roomE_20230214","1","18","28","18","133463","80485","51603","18","26.04","26.04","4","2","1","3","0","2","0","0","1","1","0","1","1","0","0","0","0","2","20","16","7","7","4","6","0","0","1","1","0","3","1","0","0","0","0","8","4","2","1","3","0","2","0","0","1","1","0","1","1","0","0","0","0","2","\Box11_Comments:"
"3","heroinSA","heroin","Box3","02-14-23","243","heroinSA_FR1_roomE_20230214","1","11","24","11","172943","94057","56367","11","112.82","32.85","3","2","0","0","0","1","0","1","0","0","1","0","2","0","0","0","1","0","10","2","2","0","0","1","18","1","2","0","1","0","2","0","0","20","2","0","3","2","0","0","0","1","0","1","0","0","1","0","2","0","0","0","1","0","\Box3_Comments:"
"4","heroinSA","heroin","Box4","02-14-23","257","heroinSA_FR1_roomE_20230214","1","16","4","16","269311","130437","35359","16","4.17","4.17","3","0","2","0","0","2","1","0","1","0","1","0","1","4","0","0","0","1","3","0","6","0","0","2","1","0","5","0","1","0","1","4","0","0","0","1","3","0","2","0","0","2","1","0","1","0","1","0","1","4","0","0","0","1","\Box4_Comments:"
"11","heroinSA","saline","Box11","02-14-23","243","heroinSA_FR1_roomE_20230214","1","30","83","30","0","0","0","30","115.54","58.19","3","2","1","1","2","5","0","0","1","2","5","1","0","0","0","0","0","7","17","8","45","21","18","17","10","8","1","12","11","1","0","10","0","0","2","15","3","2","1","1","2","5","0","0","1","2","5","1","0","0","0","0","0","7","\Box11_Comments:"
"12","heroinSA","saline","Box12","02-14-23","263","heroinSA_FR1_roomE_20230214","1","5","5","5","0","0","0","5","113.76","113.76","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4","2","1","0","0","0","4","0","0","1","0","0","0","0","0","0","2","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","02-14-23","220","heroinSA_FR1_roomE_20230214","1","17","12","17","0","0","0","17","162.13","162.13","2","2","0","2","0","2","0","1","1","0","1","0","0","2","1","2","1","0","4","8","2","2","0","6","0","1","1","0","3","0","2","8","1","2","1","0","2","2","0","2","0","2","0","1","1","0","1","0","0","2","1","2","1","0","\Box13_Comments:"
