"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"1",1,"1","heroinSA","heroin","02-14-23","Box1","272.000",10,1,"FR_SCRIPT_D:_0.636_E:_0.364_F:_21.000_I:_110.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1958.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_1.rDat",21,12,21,"118263.000","156575.000","155983.000","21.000","39.45","703.93"
"2",2,"2","heroinSA","heroin","02-14-23","Box2","248.000",10,1,"FR_SCRIPT_D:_0.278_E:_0.722_F:_15.000_I:_142.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1237.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_1.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_2.rDat",15,39,15,"231162.000","133648.000","52876.000","15.000","1416.52","376.32"
"3",3,"5","heroinSA","heroin","02-14-23","Box5","256.000",10,1,"FR_SCRIPT_D:_0.473_E:_0.527_F:_26.000_I:_164.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1233.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_3.rDat",26,29,26,"211507.000","186699.000","78388.000","26.000","270.89","255"
"4",4,"6","heroinSA","heroin","02-14-23","Box6","231.000",10,1,"FR_SCRIPT_D:_0.621_E:_0.379_F:_18.000_I:_96.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_198.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_4.rDat",18,11,18,"165434.000","244525.000","138393.000","18.000","219.88","1118.98"
"5",5,"7","heroinSA","saline","02-14-23","Box7","252.000",10,1,"FR_SCRIPT_D:_0.255_E:_0.745_F:_27.000_I:_268.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4605.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_5.rDat",27,79,27,"172204.000","91396.000","66905.000","27.000","142.4","353.25"
"6",6,"8","heroinSA","heroin","02-14-23","Box8","275.000",10,1,"FR_SCRIPT_D:_0.258_E:_0.742_F:_16.000_I:_158.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_6497.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_6.rDat",16,46,16,"219012.000","196826.000","77406.000","16.000","206.51","572.62"
"7",7,"9","heroinSA","saline","02-14-23","Box9","226.000",10,1,"FR_SCRIPT_D:_0.364_E:_0.636_F:_39.000_I:_295.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1360.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_7.rDat",39,68,39,"130618.000","109481.000","98974.000","39.000","260.27","159.88"
"8",8,"10","heroinSA","heroin","02-14-23","Box10","258.000",10,1,"FR_SCRIPT_D:_0.391_E:_0.609_F:_18.000_I:_130.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_526.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_8.rDat",18,28,18,"133463.000","80485.000","51603.000","18.000","26.04","59.53"
"9",9,"3","heroinSA","heroin","02-14-23","Box3","243.000",10,1,"FR_SCRIPT_box3_D:_0.314_E:_0.686_F:_11.000_I:_96.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_9223.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_9.rDat",11,24,11,"172943.000","94057.000","56367.000","11.000","112.82","32.85"
"10",10,"4","heroinSA","heroin","02-14-23","Box4","257.000",10,1,"FR_SCRIPT_box4_D:_0.800_E:_0.200_F:_16.000_I:_74.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_5185.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box4_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_10.rDat",16,4,16,"269311.000","130437.000","35359.000","16.000","4.17","1245.92"
